Sunday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Roast Chicken,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Smoked Pork Chop,4 oz.,Ground,,,,,,,,,,,,,
* Loaded Mashed Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
** Macaroni & Cheese,1/2 C. ,,1 serve ,,,,,,,,,,,,
* Green Beans Almondine,1/2 C.,,1 Serve,,,,,,,,,,,,
** Peas,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,4 oz,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Meatball Sub,3 oz,,,,,,,,,,,,,,
** Pulled Pork Sandwich,4 oz,Ground,1 serve ,,,,,,,,,,,,
Grilled Chicken Salad,4 oz. ,Ground,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
* Fresh Fruit,1/2 C.,,1 serve ,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve ,1/2 serve,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SIX,,,,,Approved: ,,,,,,,,,,
Monday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Stir Fry Beef,4 oz.,Ground,1 Serve ,,,,,,,,,,,,
** Orange Roughy,4 oz.,Flaked,1 serve ,,,,,,,,,,,,
* Jasmine Rice ,1/2 C.,,1 serve ,,,,,,,,,,,,
** Quinoa Blend,1/2 C.,,1 serve ,,,,,,,,,,,,
** Broccoli,1/2 C.,,1 serve ,,,,,,,,,,,,
* Glazed Carrots,1/2 C.,,1 serve,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Meatball Sub,3 oz,,,,,,,,,,,,,,
Pulled Pork Sandwich,4 oz.,,,,,,,,,,,,,,
Grilled Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,4 oz.,,,,,,,,,,,,,,
* Fresh Fruit,1/2 C.,,1 serve,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE; SIX,,,,,Approved: ,,,,,,,,,,
Tuesday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Lemon Chicken Breast,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Italian Pot Roast,4 oz.,Ground,,,,,,,,,,,,,
* Baked Potato,1/2-110 ct.,,1 serve,,,,,,,,,,,,
** Scalloped Potato,1/2 C.,,1 serve ,,,,,,,,,,,,
* Asparagus,1/2 C.,,1 serving ,,,,,,,,,,,,
Roasted Cauliflower,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket ,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
