Sunday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Pork Chop,4 oz.,Ground,1 Serve,,,,,,,,,,,,
**Pepper Steak,6 oz.,Ground,1 serve ,,,,,,,,,,,,
* AuGratin Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
Gravy,2 oz.,,,,,,,,,,,,,,
** Rice,1/2 C.,,1 serve ,,,,,,,,,,,,
Asian Vegetable,1/2 C.,,,,,,,,,,,,,,
* Green Beans,1/2 C.,,1 Serve,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* /**Bread Basket,1 slice,,crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Lobster Portobello Melt,3 oz.,,,,,,,,,,,,,,
Taco Salad,3 oz.,,,,,,,,,,,,,,
Ranch Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
*/**Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C. ,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
* Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
CYCLE: FOUR,,,,,Approved:,,,,,,,,,,
Monday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Chicken Cordon Bleu,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Glazed Salmon,4 oz.,,,,,,,,,,,,,,
* Baked Sweet Potato,1/2 -110 ct.,,,,,,,,,,,,,,
** Potato Wedges,1/2 C.,,1 serve ,,,,,,,,,,,,
* Asparagus,1/2 C. ,,1 serve,,,,,,,,,,,,
Nantucket Vegetable,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* Bread Basket,1 slice,,crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C. ,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
** Cheeseburger,4 oz.,Ground,1 serve ,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Lobster Portobello Melt,3 oz.,,,,,,,,,,,,,,
Taco Salad,3 oz.,,,,,,,,,,,,,,
Ranch Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C. ,,,,,,,,,,,,,,
* Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve ,1/2 serve ,,,,,,,,,,,
CYCLE: FOUR,,,,,Approved: ,,,,,,,,,,
Tuesday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Beef Stew,6 oz. ,Ground,1 Serve,,,,,,,,,,,,
** Ham & Noodle Casserole,6 oz. ,,1 serve ,,,,,,,,,,,,
* Biscuit,"1 - 3""",,1 serve,,,,,,,,,,,,
* Zucchini,1/2 C.,,1 serve,,,,,,,,,,,,
** Key West Vegetable,1/2 C.,,1 serve ,,,,,,,,,,,,
Boiled Yukon Gold Potato,1/2 C.,,,,,,,,,,,,,,
Loaded Potato Skins,2 - 1/2's ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheese Burger,4 oz.,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Lobster Portobello Melt,3 oz,,,,,,,,,,,,,,
Taco Salad,3 oz,,,,,,,,,,,,,,
Ranch Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
Fresh Fruit,1/2 C. ,,,,,,,,,,,,,,
*/**Canned Fruit or Salad,1/2 C. ,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C. ,,,,,,,,,,,,,,
Apple Sauce,1/2 C. ,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C. ,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve ,1/2 serve,,,,,,,,,,,
CYCLE: FOUR,,,,,Approved:,,,,,,,,,,
Wednesday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Ham Balls,2 -2 oz ,Ground,1 Serve,,,,,,,,,,,,
** Lasagna,6 oz.,,1 serve ,,,,,,,,,,,,
* Loaded Mashed Potato,1/2 C.,,1 serve,,,,,,,,,,,,
Baked Potato,1/2 - 110 ct.,,,,,,,,,,,,,,
* Peas,1/2 C.,,,,,,,,,,,,,,
** Italian Flat Beans,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 slice ,,crumbs,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2 ,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz.,,,,,,,,,,,,,,
Grilled Cheese,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Lobster Portobello Melt,3 oz,,,,,,,,,,,,,,
Taco Salad,3 oz,,,,,,,,,,,,,,
Ranch Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz.,,,,,,,,,,,,,,
**Fresh Fruit,1/2 C.,,1 serve,,,,,,,,,,,,
*Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
* Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve ,1/2 serve ,,,,,,,,,,,
CYCLE: FOUR,,,,,Approved: ,,,,,,,,,,
Thursday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Salisbury Steak,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Roasted Pork Tenderloin,4 oz.,Ground,,,,,,,,,,,,,
* Hashbrown Casserole,1/2 C.,,1 Serve,,,,,,,,,,,,
**French Fries,1/2 C.,,1 serve ,,,,,,,,,,,,
* Creamed Spinach,1/2 C.,,1 serve,,,,,,,,,,,,
Country Trio Vegetable,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 slice ,,crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheese Burger,4 oz,,,,,,,,,,,,,,
Grilled Cheese ,1 oz./1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Pizza,3 oz. Meat,,,,,,,,,,,,,,
** French Dip Sandwich,4 oz ,Ground ,1 serve ,,,,,,,,,,,,
Tuna Salad Croissant,4 oz,,,,,,,,,,,,,,
Joy's Asian Salad,4 oz ,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
