*/** Dessert,1 serving ,,1 serve ,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved:,,,,,,,,,,
Wednesday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Beef Brisket,4 oz,Ground,1 Serve,,,,,,,,,,,,
Crab Cakes,2-2 oz,flaked,,,,,,,,,,,,,
* French Fries,1/2 C. ,,1 serve,,,,,,,,,,,,
Rice Pilaf,1/2 C.,,,,,,,,,,,,,,
* BBQ Green Beans,1/2 C.,,1 serve,,,,,,,,,,,,
** Key West Vegetable Blend,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*Bread Basket ,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/ 1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
** Mushroom & Swiss Burger,4 oz,ground ,1 serve ,,,,,,,,,,,,
Chili Dog,4 oz/ 2 oz,,,,,,,,,,,,,,
Joy's Asian Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
* Fresh Fruit,1/2 C.,,1 serve ,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,1 Serve,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve,1/2 serve,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved: ,,,,,,,,,,
Thursday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Grilled Sirloin,4 oz.,Ground ,1 Serve,,,,,,,,,,,,
Lobster Macaroni & Cheese,6 oz.,,,,,,,,,,,,,,
** Baked Potato,1/2-110 ct.,,1 serve ,,,,,,,,,,,,
*Mashed Potato,1/2 C.,,1 serve,,,,,,,,,,,,
* Asparagus,1/2 C.,,1 serve,,,,,,,,,,,,
Okra and Tomato,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Pizza ,3 oz. Meat,,,,,,,,,,,,,,
**Cowboy Reuben,4 oz.,Ground,1 serve ,,,,,,,,,,,,
Turkey Club,4 oz., ,,,,,,,,,,,,,
Walnut Chicken Salad,4 oz.,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
*Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
** Apple Sauce,1/2 C. ,,1 serve ,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve,1/2 serve,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved: ,,,,,,,,,,
Friday Dinner */ Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Catfish Filet,4 oz. ,Flaked,1 Serve,,,,,,,,,,,,
**Turkey Tetrizini,6 oz.,ground,1 serve ,,,,,,,,,,,,
* Fried Potato,1/2 C.,,1 serve ,,,,,,,,,,,,
Risotto,1/2 C.,,,,,,,,,,,,,,
* Butter Beans,1/2 C.,,1 serve,,,,,,,,,,,,
** Green Beans,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
