Sunday Dinner */ Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Roast Beef,4 oz.,Ground,1 Serve,,,,,,,,,,,,
** Fried Chicken,4 oz.,Ground,1 serve ,,,,,,,,,,,,
* Mashed Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
* Gravy,1 oz. ,,1 Serve,,,,,,,,,,,,
Baked Potato,1/2 - 110 ct.,,,,,,,,,,,,,,
* Sugar Snap Peas,1/2 C.,Peas,,,,,,,,,,,,,
** Calico Beans,1/2 C.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,Ground,,,,,,,,,,,,,
Grilled Cheese ,3 oz/2 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/1 slice,,,,,,,,,,,,,,
Reuben,4 oz,,,,,,,,,,,,,,
Ranch Chicken Wrap,4 oz,,,,,,,,,,,,,,
Steak House Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
*Canned Fruit or Salad,1/2 C,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve,1/2 serve,,,,,,,,,,,
CYCLE: FIVE,,,,,Approved:,,,,,,,,,,
Monday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Chicken Parmesan,4 oz,Ground,1 Serve,,,,,,,,,,,,
Grilled Fish,4 oz. ,flaked,,,,,,,,,,,,,
* Fettuccine,1/2 C. ,,1 serve,,,,,,,,,,,,
Roasted Red Potato,1/2 C.,,,,,,,,,,,,,,
* Green Beans,1/2 C.,,1 serve,,,,,,,,,,,,
Roasted Brussel Sprouts,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
**Soup of the Day 1,1 C.,,1 serve ,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,Ground,,,,,,,,,,,,,
**Grilled Cheese,3 oz/2 slice,,1 serve ,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Reuben,4 oz,,,,,,,,,,,,,,
Ranch Chicken Wrap,4 oz ,,,,,,,,,,,,,,
Steak House Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
**Canned Fruit or Salad,1/2 C.,,1 serve,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Applesauce,1/2 C.,,,,,,,,,,,,,,
* Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve 1/2 serve ,1/2 serve,,,,,,,,,,,
CYCLE: FIVE ,,,,,Approved: ,,,,,,,,,,
Tuesday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Fried Shrimp,4 oz.,ground,1 Serve,,,,,,,,,,,,
Grilled Sirloin,4 oz.,ground,,,,,,,,,,,,,
* Scalloped Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
** Twice Baked Potato,1/2-110 ct,,1 serve ,,,,,,,,,,,,
* AuGratin Carrots,1/2 C.,,,,,,,,,,,,,,
Black Eyed Peas,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
** Cheeseburger,4 oz,ground ,1 serve ,,,,,,,,,,,,
Grilled Cheese,3 oz/2 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice ,,,,,,,,,,,,,,
Reuben,4 oz,,,,,,,,,,,,,,
Ranch Chicken Wrap,4 oz,,,,,,,,,,,,,,
Steak House Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
*Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce ,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving ,,1 serve ,1/2 serve ,,,,,,,,,,,
CYCLE: FIVE,,,,,Approved: ,,,,,,,,,,
Wednesday Dinner*/Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Chicken Primivera,4 oz.,Ground,1 Serve,,,,,,,,,,,,
** BBQ Ribs,4 oz.,ground ,1 serve ,,,,,,,,,,,,
Risotto,1/2 C.,,,,,,,,,,,,,,
** French Fries,1/2 C.,,1 serve ,,,,,,,,,,,,
*Corn,1/2 C.,,1 serve ,,,,,,,,,,,,
* Sauted Spinach,1/2 C.,,1 serve,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
