Dish,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Roast Pork,4 oz.,Ground,1 Serve,,,,,,,,,,,,
Baked Chicken Breast,4 oz.,Ground,,,,,,,,,,,,,
Dressing,1/2 C.,,,,,,,,,,,,,,
*Mashed Potatoes,1/2 C./ 1 oz.,,1 Serve,,,,,,,,,,,,
Roasted Red Potato,1/2 C.,,,,,,,,,,,,,,
Harvard Beets,1/2 C.,,,,,,,,,,,,,,
*Peas,,,1 Serve,,,,,,,,,,,,
*Gravy,1 oz.,2 oz. ,1 serve ,,,,,,,,,,,,
*Bread Basket,1 Slice,,crumbs ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
**Soup of the day 1,1 C. ,,1 serve ,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,4 oz. Ground,,,,,,,,,,,,,,
**Grilled Cheese,1 oz. / 1 slice,,1 serve ,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz./1 slice,,,,,,,,,,,,,,
Tuna Melt, 3oz. ,,,,,,,,,,,,,,
Reuben,3 oz. ,,,,,,,,,,,,,,
Chef Salad,3 oz. ,,,,,,,,,,,,,,
Grilled Chicken Salad,4 oz.  ,,,,,,,,,,,,,,
Pizza,3 oz. Meat,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
*Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C. ,,,,,,,,,,,,,,
**Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/**Dessert,1 Serving,,1 serve ,1/2 serving,,,,,,,,,,,
CYCLE: ONE,,,,,Approved: ,,,,,,,,,,
Monday Dinner */Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Beef Pot Roast w/Vegetable,4 oz./ 1/2 C.,Ground,1 Serve,,,,,,,,,,,,
Shrimp Scampi,4 oz./ 1/2 C.,,,,,,,,,,,,,,
*Parsley Potato,1/2 C.,,1 Serve,,,,,,,,,,,,
Linguini w/ olive oil ,1/2 C.,,,,,,,,,,,,,,
**Nantucket Blend,1/2 C.,,1 serve ,,,,,,,,,,,,
*Green Beans ,1/2 C.,,1 Serve,,,,,,,,,,,,
Gravy,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*Bread Basket,1 Slice,,crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C. ,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,"4 oz./4""",Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz./1slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz./1 slice ,,,,,,,,,,,,,,
Tuna Melt,3 oz. ,,,,,,,,,,,,,,
** Reuben,3 oz.,Ground,1 serve ,,,,,,,,,,,,
Chef Salad,4 oz. ,,,,,,,,,,,,,,
Grilled Chicken Salad,4 oz. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fresh Fruit,1/2 C. ,,,,,,,,,,,,,,
 */** Canned Fruit or Salad ,1/2 C.,,1 serve,,,,,,,,,,,,
Cottage Cheese,1/2 C. ,,,,,,,,,,,,,,
Apple Sauce,1/2 C. ,,,,,,,,,,,,,,
Tossed Salad,1 C. ,,,,,,,,,,,,,,
 * Vegetable Salad,1/2 C. ,,,,,,,,,,,,,,
* /**Dessert,1 serving,,1 serve ,1/2 serve,,,,,,,,,,,
CYCLE: ONE,,,,,Approved: ,,,,,,,,,,
Tuesday Dinner*/Supper **,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Swiss Steak,4 oz.,Ground,1 Serve,,,,,,,,,,,,
** Macaroni & Cheese,1/2 C. ,,1 serve ,,,,,,,,,,,,
* Baked Potato,1/2 110 ct. ,,1 Serve,,,,,,,,,,,,
French Fries,1/2 C. ,,,,,,,,,,,,,,
** Corn,1/2 C.,,1 serve ,,,,,,,,,,,,
*Sugar Snap Peas,1/2 C.,Plain Peas,1 Serve,,,,,,,,,,,,
* Bread Basket,1 slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1,1 C. ,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,4 oz. ,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz. / 1 slice ,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz./1 oz. 1 slice,,,,,,,,,,,,,,
Tuna Melt,3 oz.,,,,,,,,,,,,,,
Reuben,3 oz.,,,,,,,,,,,,,,
Chef Salad,3 oz. ,,,,,,,,,,,,,,
Grilled Chicken Salad,4 oz. ,,,,,,,,,,,,,,
*Fresh Fruit,1/2 C. ,,,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C. ,,,,,,,,,,,,,,
Cottage Cheese,1/2 C. ,,,,,,,,,,,,,,
Apple Sauce,1/2 C. ,,,,,,,,,,,,,,
Tossed Salad,1 C. ,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve ,1/2 serving,,,,,,,,,,,
CYCLE: ONE,,,,,Approved: ,,,,,,,,,,
Wednesday Dinner */Supper**,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
*Sweet & Sour Pork over Rice,6 oz./ 1/2 C.,Ground,1 Serve,,,,,,,,,,,,
